"","PD38026MD"
"","Indicadores bursátiles - Índice General Bursátil BVL (índice)"
02Ago10,14520.9
03Ago10,14687.12
04Ago10,14820.73
05Ago10,14746.48
06Ago10,14699.98
09Ago10,14853.99
10Ago10,14877.09
11Ago10,14664.76
12Ago10,14808.06
13Ago10,14801.33
16Ago10,14866.96
17Ago10,14938.39
18Ago10,14972.14
19Ago10,14868.3
20Ago10,14874.26
23Ago10,14902.1
24Ago10,14844.5
25Ago10,14936.62
26Ago10,14975.07
27Ago10,15105.99
30Ago10,15105.99
31Ago10,15153.33
01Set10,15319.1
02Set10,15368.72
03Set10,15568.13
06Set10,15742.6
07Set10,15786.98
08Set10,15864.6
09Set10,15833.44
10Set10,16151.09
13Set10,16536.47
14Set10,16522.23
15Set10,16561.52
16Set10,16658.24
17Set10,16721.19
20Set10,16892.11
21Set10,17162.94
22Set10,17363.05
23Set10,17199.41
24Set10,17315.68
27Set10,17435.56
28Set10,17577.07
29Set10,17709.98
30Set10,17867.36
01Oct10,18159.8
04Oct10,18169.27
05Oct10,18806.39
06Oct10,18941.78
07Oct10,18855.25
08Oct10,18855.25
11Oct10,19037.31
12Oct10,18995.86
13Oct10,19450.28
14Oct10,19499.49
15Oct10,19293.09
18Oct10,18940.03
19Oct10,18366.71
20Oct10,18777
21Oct10,18487.58
22Oct10,18764.9
25Oct10,18905.22
26Oct10,19039.82
27Oct10,18991.26
28Oct10,18991.32
29Oct10,19220.93
01Nov10,19220.93
02Nov10,19550.99
03Nov10,19631.12
04Nov10,20230.42
05Nov10,20402.51
08Nov10,20390.96
09Nov10,20606.72
10Nov10,20588.95
11Nov10,20595.34
12Nov10,20248.41
15Nov10,20151.46
16Nov10,19563.53
17Nov10,19915.13
18Nov10,20292.13
19Nov10,20384.52
22Nov10,20417.52
23Nov10,20179.45
24Nov10,20441.13
25Nov10,20768.71
26Nov10,20704.46
29Nov10,20804.26
30Nov10,20854.5
01Dic10,21366.22
